Director,Tier,CareerPhase,Region,PrimaryLane,SecondaryLanes,ScaleProven,TonalDNA,Last3Features,LastFilm,LastFilmYear,LastFilmType,NextProject,NextStatus,ActorMagnet,PackagingNotes,OpsNotes,ResearchStatus,SeededOn,WikipediaSearch,IMDbSearch,TheNumbersURL,Last3_Source,Film1_Title,Film1_ReleaseDate,Film1_DomesticGrossUSD,Film1_IntlGrossUSD,Film1_WWGrossUSD,Film2_Title,Film2_ReleaseDate,Film2_DomesticGrossUSD,Film2_IntlGrossUSD,Film2_WWGrossUSD,Film3_Title,Film3_ReleaseDate,Film3_DomesticGrossUSD,Film3_IntlGrossUSD,Film3_WWGrossUSD,LastFilmWWGrossUSD,BudgetBandTypical,BudgetBandLowUSD,BudgetBandHighUSD,id,director_qid,tier_ai,tier_ai_confidence,tier_ai_as_of,availability_ai,availability_ai_confidence,availability_ai_as_of,ai_evidence_urls,reps_manual,internal_notes,exclude,watchlist_priority
Kathryn Bigelow,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Kathryn+Bigelow,https://www.imdb.com/find/?q=Kathryn+Bigelow&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d8c86ae97d89386c9b454ed3c5c4f58e70c46565,,,,,,,,,,,,
Kiyoshi Kurosawa,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Kiyoshi+Kurosawa,https://www.imdb.com/find/?q=Kiyoshi+Kurosawa&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c30489757793ba26227f5315e70fefd3f7040655,,,,,,,,,,,,
Lee Daniels,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Lee+Daniels,https://www.imdb.com/find/?q=Lee+Daniels&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1ea700fa9d176d27e1deefc945dac7b5b2554ee2,,,,,,,,,,,,
Leigh Whannell,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Leigh+Whannell,https://www.imdb.com/find/?q=Leigh+Whannell&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:adba6122196eb8632cf6f13ddb9d182a7d421628,,,,,,,,,,,,
Luca Guadagnino,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Luca+Guadagnino,https://www.imdb.com/find/?q=Luca+Guadagnino&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a09cb3859ca8f6b70eddd424d0d2d1960c2c3b92,,,,,,,,,,,,
Makoto Shinkai,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Makoto+Shinkai,https://www.imdb.com/find/?q=Makoto+Shinkai&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0462043ba7b50348416a0ae5fa3aae05185e52b1,,,,,,,,,,,,
Mamoru Hosoda,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Mamoru+Hosoda,https://www.imdb.com/find/?q=Mamoru+Hosoda&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:3884b7f3562b7e345a21daa1de43a3996728999d,,,,,,,,,,,,
Marc Forster,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Marc+Forster,https://www.imdb.com/find/?q=Marc+Forster&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:71faad530bc2361a713d8a40c83ca9fc64d226fc,,,,,,,,,,,,
Marc Webb,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Marc+Webb,https://www.imdb.com/find/?q=Marc+Webb&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:668fdc808a4e58809731b4db59a4be085c25aa90,,,,,,,,,,,,
Marielle Heller,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Marielle+Heller,https://www.imdb.com/find/?q=Marielle+Heller&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e6db738257b085ff54376d1f862ea927ae4619c4,,,,,,,,,,,,
Matthew Vaughn,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Matthew+Vaughn,https://www.imdb.com/find/?q=Matthew+Vaughn&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:99fd33777d8bec82e3ba0f3dd8c935b8b08505e4,,,,,,,,,,,,
Michael Bay,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Michael+Bay,https://www.imdb.com/find/?q=Michael+Bay&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ea95ee7b18d3c86ed008c95408955ee11fee701b,,,,,,,,,,,,
Michael Mann,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Michael+Mann,https://www.imdb.com/find/?q=Michael+Mann&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a313f4a6f68cb6fc54e78253782fd62e24e60684,,,,,,,,,,,,
Mike Dougherty,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Mike+Dougherty,https://www.imdb.com/find/?q=Mike+Dougherty&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a1344569a65a1b6ae83dd432e8c80fb5c5ad12d8,,,,,,,,,,,,
Mike Flanagan,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Mike+Flanagan,https://www.imdb.com/find/?q=Mike+Flanagan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:287140f3ca7dec1ad31e8c7c13e89568b3e79b8a,,,,,,,,,,,,
Mike Mills,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Mike+Mills,https://www.imdb.com/find/?q=Mike+Mills&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:86709f1c0c121d2fa794d971ed731f81c50f8c77,,,,,,,,,,,,
Morten Tyldum,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Morten+Tyldum,https://www.imdb.com/find/?q=Morten+Tyldum&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e4ab0e9ccb0dfc6a94b69c7b8a6920a9960ece86,,,,,,,,,,,,
Neil Burger,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Neil+Burger,https://www.imdb.com/find/?q=Neil+Burger&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8ea0c160d223438b2c163099298430a3642e1258,,,,,,,,,,,,
Neil Marshall,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Neil+Marshall,https://www.imdb.com/find/?q=Neil+Marshall&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d743f45dc91b1ca98fc57adf8591e6ec37cf6bab,,,,,,,,,,,,
Neill Blomkamp,T2,Established,US/Intl,Sci-fi,"Action,Thriller/Mystery",Studio/Tentpole,"concept-driven, visual",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Neill+Blomkamp,https://www.imdb.com/find/?q=Neill+Blomkamp&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:acb47ce585544b8763a6a30ef53c52f596c4ae7e,,,,,,,,,,,,
Nicholas Stoller,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Nicholas+Stoller,https://www.imdb.com/find/?q=Nicholas+Stoller&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:899769337d3949bde887c5038d1b2c5822cd27ec,,,,,,,,,,,,
Niki Caro,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Niki+Caro,https://www.imdb.com/find/?q=Niki+Caro&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e30919df0d08d32596eb94ead40945240a1dbfb3,,,,,,,,,,,,
Noah Baumbach,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Noah+Baumbach,https://www.imdb.com/find/?q=Noah+Baumbach&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:84e38f2cb5eaef77a0f3c3274465215448d91ee1,,,,,,,,,,,,
Nora Twomey,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Nora+Twomey,https://www.imdb.com/find/?q=Nora+Twomey&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c061cd1a53d43baba831d93e69c8bdba89b03499,,,,,,,,,,,,
Osgood Perkins,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Osgood+Perkins,https://www.imdb.com/find/?q=Osgood+Perkins&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:da664c4afc55f95069963519d2d4d2a33226b5c5,,,,,,,,,,,,
Paco Plaza,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Paco+Plaza,https://www.imdb.com/find/?q=Paco+Plaza&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a0056e4c9071e5bc92a9459269cb3e7f8fe9b954,,,,,,,,,,,,
Paolo Sorrentino,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Paolo+Sorrentino,https://www.imdb.com/find/?q=Paolo+Sorrentino&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:86ae0919575d5b136163342b9e99cd9d2ad3725f,,,,,,,,,,,,
Park Chan-wook,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Park+Chan-wook,https://www.imdb.com/find/?q=Park+Chan-wook&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e5aaf54c70b8ab2653317e451ce57c1f20caa1df,,,,,,,,,,,,
Paul Feig,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Paul+Feig,https://www.imdb.com/find/?q=Paul+Feig&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5f5bc624f7301a701cd605c1041c23f598b7b4a8,,,,,,,,,,,,
Paul Greengrass,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Paul+Greengrass,https://www.imdb.com/find/?q=Paul+Greengrass&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:61c68aa2debc9ba02bf5894adafdd53eaae0fb5f,,,,,,,,,,,,
Paul Thomas Anderson,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Paul+Thomas+Anderson,https://www.imdb.com/find/?q=Paul+Thomas+Anderson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a6c634602ced37686ca5bdf92bdf95d10776b230,,,,,,,,,,,,
Paul W. S. Anderson,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Paul+W.+S.+Anderson,https://www.imdb.com/find/?q=Paul+W.+S.+Anderson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6342906427b3d8dfa956b7a99e774cda9f420b04,,,,,,,,,,,,
Pedro Almodóvar,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Pedro+Almod%C3%B3var,https://www.imdb.com/find/?q=Pedro+Almod%C3%B3var&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:309694b93923779b8e7b02c6560121a3ad197112,,,,,,,,,,,,
Pete Docter,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Pete+Docter,https://www.imdb.com/find/?q=Pete+Docter&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:54bbeb98a07ab35f8d231dd908fee13960b23039,,,,,,,,,,,,
Peter Berg,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Peter+Berg,https://www.imdb.com/find/?q=Peter+Berg&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8bd24bcf42d5f56ffd32078af74783759ee44519,,,,,,,,,,,,
Peter Sohn,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Peter+Sohn,https://www.imdb.com/find/?q=Peter+Sohn&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ad8bc8ee8627532b4d6d7fb9e2d749e68efec429,,,,,,,,,,,,
Phil Lord,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Phil+Lord,https://www.imdb.com/find/?q=Phil+Lord&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:915841d4982e9c4264c6bf986417b672f1d52d49,,,,,,,,,,,,
Phillip Noyce,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Phillip+Noyce,https://www.imdb.com/find/?q=Phillip+Noyce&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:4b419af5b3ea34c158a7e664251bce90b572b294,,,,,,,,,,,,
Regina King,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Regina+King,https://www.imdb.com/find/?q=Regina+King&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:383e53b2afb7dd281287675d8f8178e5137e4e10,,,,,,,,,,,,
Reinaldo Marcus Green,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Reinaldo+Marcus+Green,https://www.imdb.com/find/?q=Reinaldo+Marcus+Green&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c192250aa6e2c89dbb662899ec409d37e33357c2,,,,,,,,,,,,
Rich Moore,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Rich+Moore,https://www.imdb.com/find/?q=Rich+Moore&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:feedc393247189e850aff827e0f7dd621e444431,,,,,,,,,,,,
Richard Linklater,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Richard+Linklater,https://www.imdb.com/find/?q=Richard+Linklater&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e79e772d2aeeab5f836235451afbcf04cc2ef2f2,,,,,,,,,,,,
Rob Letterman,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Rob+Letterman,https://www.imdb.com/find/?q=Rob+Letterman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:96b51568b4e9a43c8e5ca6efb83fbb27b629f20b,,,,,,,,,,,,
Robert Eggers,T2,Hot (prestige horror),,Period horror,Mythic drama,$10M–$60M,"Period authenticity, gothic atmosphere",Nosferatu (2024); The Northman (2022); The Lighthouse (2019),Nosferatu,2024,Theatrical,Werwulf,Announced,3,Great for period/horror; reliable for lane match.,Period builds/costumes; specialized dialect work.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Robert+Eggers,https://www.imdb.com/find/?q=Robert+Eggers&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f82e2e4fbedecc85fa76ad2d8a732f12321624cc,,,,,,,,,,,,
Robert Rodriguez,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Robert+Rodriguez,https://www.imdb.com/find/?q=Robert+Rodriguez&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6b702f1b884f038ae29310f18bfa8e7f7c10fb66,,,,,,,,,,,,
Robert Schwentke,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Robert+Schwentke,https://www.imdb.com/find/?q=Robert+Schwentke&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:01b474dd870ff5091343f4f939b10c1369e013f3,,,,,,,,,,,,
Robert Zemeckis,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Robert+Zemeckis,https://www.imdb.com/find/?q=Robert+Zemeckis&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1646169715a9181b3cb966d097f1c44df3aca1b0,,,,,,,,,,,,
Ruben Fleischer,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ruben+Fleischer,https://www.imdb.com/find/?q=Ruben+Fleischer&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:71fa5f98b4e61ff18ff7b07206679d2ac152efed,,,,,,,,,,,,
Sam Raimi,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Sam+Raimi,https://www.imdb.com/find/?q=Sam+Raimi&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:872148c59b2708023d951aa8212ef1637c6a06a3,,,,,,,,,,,,
Sarah Polley,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Sarah+Polley,https://www.imdb.com/find/?q=Sarah+Polley&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:21460805b12c0f116ce02526190c462d6676ae7b,,,,,,,,,,,,
Scott Derrickson,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Scott+Derrickson,https://www.imdb.com/find/?q=Scott+Derrickson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7b4e2622fab7941ad0273bf6fd70d2d4117b1b06,,,,,,,,,,,,
Sofia Coppola,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Sofia+Coppola,https://www.imdb.com/find/?q=Sofia+Coppola&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:20c89e674c8e8a016f740ec030c1c3c9f8197153,,,,,,,,,,,,
Spike Jonze,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Spike+Jonze,https://www.imdb.com/find/?q=Spike+Jonze&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b1bebd3533c526e648560910abfb9de842b7b3f1,,,,,,,,,,,,
Stephen Daldry,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Stephen+Daldry,https://www.imdb.com/find/?q=Stephen+Daldry&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b85e6d6c459c58b3b1f0814e5c4fcbbc34d10ef9,,,,,,,,,,,,
Stephen Frears,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Stephen+Frears,https://www.imdb.com/find/?q=Stephen+Frears&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:340fd514dd490262f8cd24a6c33c7552ec634fc7,,,,,,,,,,,,
Steve McQueen,T2,Prestige (selective),,Historical drama,Thriller,$10M–$80M,"Formally rigorous, intense",Blitz (2024); Widows (2018); 12 Years a Slave (2013),Blitz,2024,Streamer (Apple TV+),TBA,TBD,3,Awards/prestige lever.,Often formal approach; production depends on partners.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Steve+McQueen,https://www.imdb.com/find/?q=Steve+McQueen&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5587853f4b058397a391b234cc3f750c8e2a9141,,,,,,,,,,,,
Susanne Bier,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Susanne+Bier,https://www.imdb.com/find/?q=Susanne+Bier&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c0d568ecef9ae083ef39382b6f2237dcf7bde3bb,,,,,,,,,,,,
Takashi Miike,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Takashi+Miike,https://www.imdb.com/find/?q=Takashi+Miike&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8476e143ccee76bbfe4057866939676e275b887f,,,,,,,,,,,,
Tate Taylor,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Tate+Taylor,https://www.imdb.com/find/?q=Tate+Taylor&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:24a185339c34b159426b3a3955a75e098e849725,,,,,,,,,,,,
Ti West,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ti+West,https://www.imdb.com/find/?q=Ti+West&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:bc508fb588cc58c69f471a63c9714ff226ff8740,,,,,,,,,,,,
Tim Burton,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Tim+Burton,https://www.imdb.com/find/?q=Tim+Burton&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7f91d97e270953734b9aa8d4f72623c5c987a8f2,,,,,,,,,,,,
Todd Haynes,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Todd+Haynes,https://www.imdb.com/find/?q=Todd+Haynes&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:4a36a24477c9da11c6fcb13ff1dd5492548ca934,,,,,,,,,,,,
Todd Phillips,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Todd+Phillips,https://www.imdb.com/find/?q=Todd+Phillips&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:803c1e714ae9cac793c9d442a6edb60f20920667,,,,,,,,,,,,
Tom McCarthy,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Tom+McCarthy,https://www.imdb.com/find/?q=Tom+McCarthy&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:bf3b918158238c8c9839eff32a76ea0ee694d31d,,,,,,,,,,,,
Tomm Moore,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Tomm+Moore,https://www.imdb.com/find/?q=Tomm+Moore&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:321b060ae0f27bf35e59826b43464861b2e30dda,,,,,,,,,,,,
